name,rating,reviews,price,product_url,category,raw_text
Samsung Galaxy S25 12/128GB Navy,5.0,50,369890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-121286250-navy-sm-s931bdbbskz-288437,smartphones,0 - 0 - 24 -31% Смартфон Samsung Galaxy S25 12/128GB Navy 5 (50) 369 890 ₸ 539 890 ₸ до + 18 494 бонусов 30 825 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 15 6/256GB Black (MTP63),4.8,182,504990,https://www.technodom.kz/p/smartfon-apple-iphone-15-256gb-black-mtp63-274377,smartphones,0 - 0 - 24 -6% Смартфон Apple iPhone 15 6/256GB Black (MTP63) 4.8 (182) 504 990 ₸ 534 990 ₸ 42 083 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A56 8/256 Awesome Olive,5.0,187,229990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a56-256-awesome-olive-sm-a566ezgcskz-289305,smartphones,0 - 0 - 24 -8% Смартфон Samsung Galaxy A56 8/256 Awesome Olive 5 (187) 229 990 ₸ 249 890 ₸ до + 11 499 бонусов 19 166 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 15 6/128GB Blue (MTP43),4.8,182,424990,https://www.technodom.kz/p/smartfon-apple-iphone-15-128gb-blue-mtp43-274375,smartphones,0 - 0 - 24 -7% Смартфон Apple iPhone 15 6/128GB Blue (MTP43) 4.8 (182) 424 990 ₸ 454 990 ₸ 35 416 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 16 8/128GB White,5.0,138,534990,https://www.technodom.kz/p/smartfon-apple-iphone-16-128gb-white-284604,smartphones,0 - 0 - 24 Смартфон Apple iPhone 16 8/128GB White 5 (138) 534 990 ₸ 44 583 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X9d 8/256/6,7/108 Midnight Black",4.9,34,219990,https://www.technodom.kz/p/smartfon-honor-x9d-825667108-midnight-black-293696,smartphones,"0 - 0 - 24 + подарок Смартфон HONOR X9d 8/256/6,7/108 Midnight Black 4.9 (34) 219 990 ₸ до + 10 999 бонусов 18 333 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Apple iPhone 14 6/128GB Midnight,4.8,379,382990,https://www.technodom.kz/p/smartfon-gsm-apple-iphone-14-128gb-thx-61-12-5-midnight-265269,smartphones,0 - 0 - 24 Смартфон Apple iPhone 14 6/128GB Midnight 4.8 (379) 382 990 ₸ 31 916 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A17 6/128GB/6.7/50 Серый,5.0,18,109890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a17-6-128gb-6-7-50-seriy-294024,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A17 6/128GB/6.7/50 Серый 5 (18) 109 890 ₸ до + 5 494 бонусов 9 158 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 12/128GB Silver Shadow,5.0,50,369890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-121286250-silver-shadow-sm-s931bzsbskz-288444,smartphones,0 - 0 - 24 -31% Смартфон Samsung Galaxy S25 12/128GB Silver Shadow 5 (50) 369 890 ₸ 539 890 ₸ до + 18 494 бонусов 30 825 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
HONOR X6c 6/128/6.7/50 Ocean Cyan,5.0,40,74990,https://www.technodom.kz/p/smartfon-gsm-honor-x6c-6-128-6-7-50-ocean-cyan-291804,smartphones,0 - 0 - 24 -6% Смартфон HONOR X6c 6/128/6.7/50 Ocean Cyan 5 (40) 74 990 ₸ 79 990 ₸ до + 3 749 бонусов 6 250 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Huawei Nova Y73 8/256Gb Черный,4.6,12,99890,https://www.technodom.kz/p/smartfon-huawei-nova-y73-8256gb-chernyj-291941,smartphones,0 - 0 - 24 Смартфон Huawei Nova Y73 8/256Gb Черный 4.6 (12) 99 890 ₸ до + 4 994 бонусов 8 325 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X7d 6/128/6,7/108 Velvet Black",5.0,13,99990,https://www.technodom.kz/p/smartfon-honor-x7d-612867108-velvet-black,smartphones,"0 - 0 - 24 -9% Смартфон HONOR X7d 6/128/6,7/108 Velvet Black 5 (13) 99 990 ₸ 109 990 ₸ до + 4 999 бонусов 8 333 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Samsung Galaxy A17 8/256GB/6.7/50 Черный,5.0,18,129890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a17-8-256gb-6-7-50-cherniy-294026,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A17 8/256GB/6.7/50 Черный 5 (18) 129 890 ₸ до + 6 494 бонусов 10 825 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
HONOR 400 8/256Gb Полночный черный,4.8,52,249990,https://www.technodom.kz/p/smartfon-gsm-honor-400-8-256gb-polnochniy-cherniy-291175,smartphones,0 - 0 - 24 + подарок Смартфон HONOR 400 8/256Gb Полночный черный 4.8 (52) 249 990 ₸ до + 12 499 бонусов 20 833 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 Ultra 12/512GB Titanium Black,5.0,53,729890,https://www.technodom.kz/p/smartfon-samsung-galaxy-s25-ultra-12512gb-titanium-black-288459,smartphones,0 - 0 - 24 -19% Смартфон Samsung Galaxy S25 Ultra 12/512GB Titanium Black 5 (53) 729 890 ₸ 899 890 ₸ до + 36 494 бонусов 60 825 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X9d 12/256/6,7/108 Sunrise Gold",4.9,34,229990,https://www.technodom.kz/p/smartfon-honor-x9d-1225667108-sunrise-gold-293695,smartphones,"0 - 0 - 24 + подарок Смартфон HONOR X9d 12/256/6,7/108 Sunrise Gold 4.9 (34) 229 990 ₸ до + 11 499 бонусов 19 166 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Vivo V50 Lite 5G 12/256GB Phantom Black,5.0,13,199990,https://www.technodom.kz/p/smartfon-vivo-v50-lite-5g-12256gb-phantom-black-291137,smartphones,0 - 0 - 24 + подарок Смартфон Vivo V50 Lite 5G 12/256GB Phantom Black 5 (13) 199 990 ₸ до + 9 999 бонусов 16 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X7d 8/256/6,7/108 Velvet Black",5.0,13,119990,https://www.technodom.kz/p/smartfon-honor-x7d-825667108-velvet-black-293699,smartphones,"0 - 0 - 24 -8% Смартфон HONOR X7d 8/256/6,7/108 Velvet Black 5 (13) 119 990 ₸ 129 990 ₸ до + 5 999 бонусов 10 000 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Samsung Galaxy S25 Ultra 12/256GB Titanium Black,5.0,53,659890,https://www.technodom.kz/p/smartfon-samsung-galaxy-s25-ultra-12256gb-titanium-black-288458,smartphones,0 - 0 - 24 -20% Смартфон Samsung Galaxy S25 Ultra 12/256GB Titanium Black 5 (53) 659 890 ₸ 829 890 ₸ до + 32 994 бонусов от 21 350 ₸ x 60 мес В корзину Самовывоз сегодня Доставка завтра
Vivo Y04 4/256GB Green,5.0,15,84990,https://www.technodom.kz/p/smartfon-vivo-y04-4256gb-green-291223,smartphones,0 - 0 - 24 Смартфон Vivo Y04 4/256GB Green 5 (15) 84 990 ₸ до + 4 249 бонусов 7 083 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
